season;league;conference;division;finish;wins;losses;ties;team
1970;NFL;NFC;Central;4;6;8;0;Chicago Bears
1971;NFL;NFC;Central;3;6;8;0;Chicago Bears
1972;NFL;NFC;Central;4;4;9;1;Chicago Bears
1973;NFL;NFC;Central;4;3;11;0;Chicago Bears
1974;NFL;NFC;Central;4;4;10;0;Chicago Bears
1975;NFL;NFC;Central;3;4;10;0;Chicago Bears
1976;NFL;NFC;Central;2;7;7;0;Chicago Bears
1977;NFL;NFC;Central;2;9;5;0;Chicago Bears
1978;NFL;NFC;Central;4;7;9;0;Chicago Bears
1979;NFL;NFC;Central;2;10;6;0;Chicago Bears
1980;NFL;NFC;Central;3;7;9;0;Chicago Bears
1981;NFL;NFC;Central;5;6;10;0;Chicago Bears
1982;NFL;NFC;Central;12;3;6;1;Chicago Bears
1983;NFL;NFC;Central;3;8;8;0;Chicago Bears
1984;NFL;NFC;Central;1;8;8;0;Chicago Bears
1985;NFL;NFC;Central;1;15;1;0;Chicago Bears
1986;NFL;NFC;Central;1;14;2;0;Chicago Bears
1987;NFL;NFC;Central;1;11;4;0;Chicago Bears
1988;NFL;NFC;Central;1;12;4;0;Chicago Bears
1989;NFL;NFC;Central;4;6;10;0;Chicago Bears
1990;NFL;NFC;Central;1;11;5;0;Chicago Bears
1991;NFL;NFC;Central;2;11;5;0;Chicago Bears
1992;NFL;NFC;Central;4;5;11;0;Chicago Bears
1993;NFL;NFC;Central;4;7;9;0;Chicago Bears
1994;NFL;NFC;Central;4;9;7;0;Chicago Bears
1995;NFL;NFC;Central;3;9;7;0;Chicago Bears
1996;NFL;NFC;Central;3;7;9;0;Chicago Bears
1997;NFL;NFC;Central;5;4;12;0;Chicago Bears
1998;NFL;NFC;Central;5;4;12;0;Chicago Bears
1999;NFL;NFC;Central;5;6;10;0;Chicago Bears
2000;NFL;NFC;Central;5;5;11;0;Chicago Bears
2001;NFL;NFC;Central;1;13;3;0;Chicago Bears
2002;NFL;NFC;North;3;4;12;0;Chicago Bears
2003;NFL;NFC;North;3;7;9;0;Chicago Bears
2004;NFL;NFC;North;4;5;11;0;Chicago Bears
2005;NFL;NFC;North;1;11;5;0;Chicago Bears
2006;NFL;NFC;North;1;13;3;0;Chicago Bears
2007;NFL;NFC;North;4;7;9;0;Chicago Bears
2008;NFL;NFC;North;2;9;7;0;Chicago Bears
2009;NFL;NFC;North;3;7;9;0;Chicago Bears
2010;NFL;NFC;North;1;11;5;0;Chicago Bears
2011;NFL;NFC;North;3;8;8;0;Chicago Bears
2012;NFL;NFC;North;3;10;6;0;Chicago Bears
2013;NFL;NFC;North;2;8;8;0;Chicago Bears
2014;NFL;NFC;North;4;5;11;0;Chicago Bears
2015;NFL;NFC;North;4;6;10;0;Chicago Bears
2016;NFL;NFC;North;4;3;13;0;Chicago Bears
1970;NFL;NFC;Central;2;10;4;0;Detroit Lions
1971;NFL;NFC;Central;2;7;6;1;Detroit Lions
